행정구역,2026년04월_계_총인구수,2026년04월_계_연령구간인구수,2026년04월_계_0세,2026년04월_계_1세,2026년04월_계_2세,2026년04월_계_3세,2026년04월_계_4세,2026년04월_계_5세,2026년04월_계_6세,2026년04월_계_7세,2026년04월_계_8세,2026년04월_계_9세,2026년04월_계_10세,2026년04월_계_11세,2026년04월_계_12세,2026년04월_계_13세,2026년04월_계_14세,2026년04월_계_15세,2026년04월_계_16세,2026년04월_계_17세,2026년04월_계_18세,2026년04월_계_19세,2026년04월_계_20세,2026년04월_계_21세,2026년04월_계_22세,2026년04월_계_23세,2026년04월_계_24세,2026년04월_계_25세,2026년04월_계_26세,2026년04월_계_27세,2026년04월_계_28세,2026년04월_계_29세,2026년04월_계_30세,2026년04월_계_31세,2026년04월_계_32세,2026년04월_계_33세,2026년04월_계_34세,2026년04월_계_35세,2026년04월_계_36세,2026년04월_계_37세,2026년04월_계_38세,2026년04월_계_39세,2026년04월_계_40세,2026년04월_계_41세,2026년04월_계_42세,2026년04월_계_43세,2026년04월_계_44세,2026년04월_계_45세,2026년04월_계_46세,2026년04월_계_47세,2026년04월_계_48세,2026년04월_계_49세,2026년04월_계_50세,2026년04월_계_51세,2026년04월_계_52세,2026년04월_계_53세,2026년04월_계_54세,2026년04월_계_55세,2026년04월_계_56세,2026년04월_계_57세,2026년04월_계_58세,2026년04월_계_59세,2026년04월_계_60세,2026년04월_계_61세,2026년04월_계_62세,2026년04월_계_63세,2026년04월_계_64세,2026년04월_계_65세,2026년04월_계_66세,2026년04월_계_67세,2026년04월_계_68세,2026년04월_계_69세,2026년04월_계_70세,2026년04월_계_71세,2026년04월_계_72세,2026년04월_계_73세,2026년04월_계_74세,2026년04월_계_75세,2026년04월_계_76세,2026년04월_계_77세,2026년04월_계_78세,2026년04월_계_79세,2026년04월_계_80세,2026년04월_계_81세,2026년04월_계_82세,2026년04월_계_83세,2026년04월_계_84세,2026년04월_계_85세,2026년04월_계_86세,2026년04월_계_87세,2026년04월_계_88세,2026년04월_계_89세,2026년04월_계_90세,2026년04월_계_91세,2026년04월_계_92세,2026년04월_계_93세,2026년04월_계_94세,2026년04월_계_95세,2026년04월_계_96세,2026년04월_계_97세,2026년04월_계_98세,2026년04월_계_99세,2026년04월_계_100세 이상
서울특별시  (1100000000),"9,298,673","9,298,673","45,994","41,381","36,909","39,006","41,491","42,792","45,790","49,582","53,086","59,617","65,873","67,075","66,206","72,915","71,871","73,781","68,822","71,668","80,644","80,172","79,906","87,854","98,921","103,123","115,876","140,422","145,886","148,955","157,955","160,624","165,176","163,968","161,752","162,921","157,593","141,622","134,571","131,415","124,405","123,995","125,281","122,546","134,509","141,778","148,981","146,408","146,418","130,567","130,984","129,862","133,286","140,936","150,389","153,062","158,023","157,960","151,268","152,047","137,109","130,206","132,852","133,885","122,563","139,037","132,505","147,108","139,789","129,174","125,233","116,476","113,435","115,599","90,628","93,201","77,292","69,926","75,312","71,096","71,320","67,846","47,716","49,193","46,262","51,097","45,704","34,133","30,560","26,929","21,708","18,387","15,091","11,872","8,819","6,585","4,987","3,505","2,728","2,095","1,411",922,"1,457"
서울특별시 종로구 (1111000000),"136,716","136,716",444,454,397,416,485,477,526,520,605,689,753,757,779,934,861,940,841,944,"1,151","1,226","1,193","1,416","1,627","1,726","1,985","2,333","2,455","2,408","2,435","2,433","2,389","2,332","2,251","2,282","2,122","1,941","1,732","1,686","1,623","1,563","1,638","1,670","1,783","1,838","1,964","1,930","1,960","1,752","1,718","1,780","1,822","2,011","2,230","2,241","2,441","2,571","2,466","2,370","2,281","2,161","2,119","2,175","2,082","2,321","2,122","2,383","2,123","1,981","1,887","1,816","1,738","1,772","1,299","1,416","1,164",969,"1,149","1,043","1,156","1,081",798,903,801,885,835,661,610,563,443,369,308,245,205,144,113,85,54,50,26,30,34
서울특별시 중구 (1114000000),"117,760","117,760",612,494,418,480,469,479,426,437,469,562,540,508,539,534,567,535,531,532,753,805,837,952,"1,248","1,206","1,478","1,705","1,881","1,927","2,069","2,231","2,295","2,334","2,405","2,414","2,338","2,089","1,978","1,910","1,826","1,669","1,647","1,642","1,739","1,753","1,686","1,678","1,691","1,387","1,462","1,431","1,398","1,600","1,696","1,772","1,958","1,964","1,963","1,968","1,785","1,652","1,708","1,804","1,695","1,890","1,750","2,040","1,801","1,785","1,728","1,621","1,601","1,639","1,219","1,231","1,051",954,"1,057",967,998,980,689,724,700,770,767,543,514,456,337,322,264,205,169,118,75,64,48,46,33,21,22
서울특별시 용산구 (1117000000),"200,187","200,187","1,095",988,840,933,869,927,"1,001",978,998,"1,125","1,178","1,187","1,142","1,263","1,248","1,261","1,195","1,285","1,414","1,485","1,505","1,831","1,941","2,005","2,291","2,776","3,037","3,199","3,431","3,793","3,965","4,174","4,058","4,218","4,064","3,808","3,472","3,263","3,025","2,958","3,076","2,807","2,974","3,129","3,116","3,108","3,029","2,471","2,651","2,496","2,703","2,918","3,093","3,231","3,519","3,531","3,397","3,284","3,132","2,728","2,912","2,895","2,792","2,988","2,916","3,004","2,873","2,636","2,627","2,351","2,296","2,194","1,854","1,738","1,411","1,374","1,455","1,398","1,393","1,237",995,"1,027",987,"1,114","1,034",796,731,693,620,525,407,335,264,167,171,100,81,60,38,21,58
서울특별시 성동구 (1120000000),"274,917","274,917","1,901","1,694","1,403","1,374","1,538","1,475","1,464","1,523","1,561","1,698","1,641","1,713","1,538","1,629","1,576","1,594","1,511","1,678","2,098","2,331","2,442","2,670","3,047","3,258","3,554","4,377","4,439","4,363","4,764","4,632","4,884","5,033","5,036","5,396","5,218","4,846","4,740","4,602","4,440","4,189","4,183","3,970","4,174","4,294","4,309","4,101","3,925","3,503","3,505","3,513","3,615","3,900","4,334","4,414","4,564","4,782","4,584","4,508","4,211","3,816","4,033","3,970","3,659","4,104","3,969","4,307","3,983","3,700","3,483","3,300","3,078","3,049","2,468","2,456","1,999","1,924","2,037","1,880","1,944","1,902","1,346","1,407","1,377","1,513","1,304","1,012",926,769,687,569,448,347,245,192,142,96,74,48,32,34,29
서울특별시 광진구 (1121500000),"331,029","331,029","1,349","1,190","1,087","1,091","1,182","1,266","1,392","1,525","1,491","1,766","1,984","2,012","2,129","2,262","2,273","2,305","2,165","2,315","2,663","2,812","2,893","3,500","4,187","4,514","5,058","6,409","6,651","6,903","7,061","7,173","7,258","6,859","6,733","6,527","6,017","5,171","5,016","4,670","4,415","4,260","4,455","4,114","4,564","4,833","4,931","4,916","4,891","4,370","4,401","4,396","4,394","4,722","4,990","5,224","5,479","5,486","5,316","5,340","4,969","4,800","4,752","4,743","4,237","5,074","4,657","5,068","4,873","4,451","4,208","3,875","3,805","3,711","2,899","3,061","2,461","2,202","2,266","2,287","2,315","2,146","1,498","1,569","1,495","1,617","1,441","1,133","1,007",849,705,577,496,386,316,192,166,94,90,59,44,34,45
서울특별시 동대문구 (1123000000),"351,656","351,656","2,042","1,753","1,615","1,685","1,581","1,691","1,785","1,761","1,883","2,000","2,180","2,142","2,024","2,284","2,139","2,205","2,084","2,189","2,897","3,288","3,673","4,223","5,117","5,468","5,994","6,623","6,240","6,063","6,155","5,971","6,071","6,148","5,992","6,144","5,954","5,476","5,226","5,035","4,747","4,834","4,560","4,591","4,922","5,266","5,314","5,163","5,022","4,546","4,460","4,406","4,583","4,953","5,221","5,517","5,681","5,771","5,528","5,557","4,954","4,907","4,940","4,956","4,462","5,016","4,975","5,508","5,185","4,825","4,734","4,379","4,240","4,322","3,384","3,514","2,925","2,637","2,757","2,680","2,772","2,618","1,954","1,978","1,905","2,186","1,843","1,423","1,249","1,084",871,767,583,464,344,264,178,122,101,77,48,30,52
서울특별시 중랑구 (1126000000),"376,570","376,570","1,790","1,617","1,425","1,544","1,485","1,407","1,530","1,684","1,783","2,001","2,152","2,071","2,109","2,286","2,313","2,303","2,222","2,374","2,538","2,615","2,564","2,858","3,353","3,485","4,112","4,989","5,223","5,446","6,092","6,226","6,599","6,691","6,705","6,700","6,468","5,642","5,326","5,283","4,949","4,735","4,834","4,652","4,934","5,266","5,506","5,485","5,518","4,716","4,781","4,670","4,901","5,241","5,895","6,013","6,323","6,623","6,469","6,892","6,483","6,299","6,357","6,505","5,923","6,989","6,633","7,353","6,922","6,223","6,014","5,532","5,338","5,498","4,220","4,272","3,617","3,135","3,410","3,203","3,157","3,074","2,076","2,201","2,071","2,365","2,120","1,454","1,430","1,152",923,773,612,502,372,261,195,142,108,81,66,34,61
서울특별시 성북구 (1129000000),"422,452","422,452","2,011","1,901","1,747","1,776","1,960","2,043","2,112","2,376","2,436","2,807","3,102","3,038","2,976","3,252","3,307","3,404","3,151","3,315","4,141","4,566","4,800","5,557","6,263","6,340","6,517","7,128","6,679","6,314","6,367","6,259","6,109","6,102","5,987","6,184","5,981","5,473","5,330","5,382","5,218","5,204","5,383","5,317","5,875","6,114","6,459","6,350","6,395","5,816","5,677","5,787","6,193","6,741","7,397","7,403","7,781","7,696","7,445","7,249","6,514","6,084","6,049","6,058","5,529","6,063","5,842","6,591","6,137","5,643","5,675","5,046","5,048","5,084","3,984","4,145","3,345","3,066","3,461","3,267","3,284","3,188","2,230","2,387","2,345","2,588","2,389","1,771","1,601","1,383","1,111",884,769,614,394,317,258,188,129,116,64,50,68
서울특별시 강북구 (1130500000),"278,520","278,520",853,801,772,746,847,853,943,"1,022","1,246","1,308","1,420","1,488","1,551","1,724","1,781","1,871","1,709","1,892","2,134","2,265","2,360","2,681","3,040","3,117","3,352","3,740","3,875","3,719","3,870","3,978","3,860","3,868","3,879","3,818","3,774","3,187","3,109","3,054","2,866","2,908","2,953","3,030","3,367","3,713","3,854","3,946","4,000","3,629","3,608","3,719","3,967","4,327","4,815","4,944","5,329","5,266","5,087","5,226","4,851","4,580","4,714","4,737","4,393","4,972","4,735","5,408","5,286","4,690","4,564","4,277","4,152","4,355","3,379","3,458","3,068","2,729","3,026","2,977","2,935","2,758","1,986","2,141","2,031","2,272","2,122","1,503","1,306","1,143",923,778,607,432,343,224,173,116,100,92,54,24,45
